"","cuedAR","uncuedAR","sameDirection1S0D","responseAR","barkod"
"279",-0.23165957,0.13899498,"Ungrouped",-0.110238254137931,6
"300",-0.23165957,0.18532679,"Ungrouped",-0.096370662,6
"321",-0.23165957,0.23165861,"Ungrouped",-0.163524543823529,6
"342",-0.23165957,0.27799043,"Ungrouped",-0.1760613875,6
"363",-0.23165957,0.32432225,"Ungrouped",-0.158852427142857,6
"384",-0.23165957,0.37065407,"Ungrouped",-0.246401514090909,6
"405",-0.23165957,0.41698588,"Ungrouped",-0.140540327666667,6
"426",-0.23165957,0.4633177,"Ungrouped",-0.141010361304348,6
"447",-0.23165957,-0.46331866,"Grouped",-0.1130501152,6
"468",-0.23165957,-0.41698684,"Grouped",-0.180179772962963,6
"489",-0.23165957,-0.37065503,"Grouped",-0.1476831503125,6
"510",-0.23165957,-0.32432321,"Grouped",-0.141803923333333,6
"531",-0.23165957,-0.27799139,"Grouped",-0.128465975454545,6
"552",-0.23165957,-0.23165957,"Grouped",-0.0914448573684211,6
"573",-0.23165957,-0.18532775,"Grouped",-0.102681806486486,6
"594",-0.23165957,-0.13899593,"Grouped",-0.0844879123529412,6
"615",-0.23165957,-0.09266412,"Grouped",-0.0336963472727273,6
"636",-0.23165957,-0.0463323,"Grouped",-0.129410042068966,6
"657",-0.23165957,-4.8e-07,"Grouped",-0.0912162465625,6
"678",-0.23165957,0.04633134,"Grouped",-0.110314332857143,6
"699",-0.23165957,0.09266316,"Grouped",-0.0447879043333333,6
"720",-0.23165957,0.13899498,"Grouped",-0.133847953888889,6
"741",-0.23165957,0.18532679,"Grouped",-0.0589682481818182,6
"762",-0.23165957,0.23165861,"Grouped",-0.155543013214286,6
"783",-0.23165957,0.27799043,"Grouped",-0.0382745891304348,6
"804",-0.23165957,0.32432225,"Grouped",-0.0851912106451613,6
"825",-0.23165957,0.37065407,"Grouped",-0.102250009310345,6
"846",-0.23165957,0.41698588,"Grouped",-0.164403705806452,6
"867",-0.23165957,0.4633177,"Grouped",-0.118036302142857,6
"7",-0.18532775,-0.46331866,"Ungrouped",-0.0419197438095238,7
"28",-0.18532775,-0.41698684,"Ungrouped",-0.138995934137931,7
"49",-0.18532775,-0.37065503,"Ungrouped",-0.0943801085185185,7
"70",-0.18532775,-0.32432321,"Ungrouped",-0.0413681396428571,7
"91",-0.18532775,-0.27799139,"Ungrouped",-0.06598822,7
"112",-0.18532775,-0.23165957,"Ungrouped",-0.118404014444444,7
"133",-0.18532775,-0.18532775,"Ungrouped",-0.08880313125,7
"154",-0.18532775,-0.13899593,"Ungrouped",-0.128699975185185,7
"175",-0.18532775,-0.09266412,"Ungrouped",-0.00686445222222222,7
"196",-0.18532775,-0.0463323,"Ungrouped",-0.0882515614285714,7
"217",-0.18532775,-4.8e-07,"Ungrouped",-0.1686482976,7
"238",-0.18532775,0.04633134,"Ungrouped",-0.0766261780769231,7
"259",-0.18532775,0.09266316,"Ungrouped",-0.0842401487878788,7
"280",-0.18532775,0.13899498,"Ungrouped",-0.0661887911428571,7
"301",-0.18532775,0.18532679,"Ungrouped",-0.0962281023076923,7
"322",-0.18532775,0.23165861,"Ungrouped",-0.153737875909091,7
"343",-0.18532775,0.27799043,"Ungrouped",-0.050675905,7
"364",-0.18532775,0.32432225,"Ungrouped",-0.126983980740741,7
"385",-0.18532775,0.37065407,"Ungrouped",-0.0833977528,7
"406",-0.18532775,0.41698588,"Ungrouped",-0.042625752,7
"427",-0.18532775,0.4633177,"Ungrouped",-0.0722236079411765,7
"448",-0.18532775,-0.46331866,"Grouped",-0.104928420588235,7
"469",-0.18532775,-0.41698684,"Grouped",-0.0652082237037037,7
"490",-0.18532775,-0.37065503,"Grouped",-0.114610767368421,7
"511",-0.18532775,-0.32432321,"Grouped",-0.117936016363636,7
"532",-0.18532775,-0.27799139,"Grouped",-0.0926641157692308,7
"553",-0.18532775,-0.23165957,"Grouped",-0.0666024384375,7
"574",-0.18532775,-0.18532775,"Grouped",-0.0976282389285714,7
"595",-0.18532775,-0.13899593,"Grouped",-0.092664115,7
"616",-0.18532775,-0.09266412,"Grouped",-0.0895753286666667,7
"637",-0.18532775,-0.0463323,"Grouped",-0.1181466165,7
"658",-0.18532775,-4.8e-07,"Grouped",-0.1056370252,7
"679",-0.18532775,0.04633134,"Grouped",-0.108108055454545,7
"700",-0.18532775,0.09266316,"Grouped",-0.165471258571429,7
"721",-0.18532775,0.13899498,"Grouped",-0.0761170385714286,7
"742",-0.18532775,0.18532679,"Grouped",-0.121786973142857,7
"763",-0.18532775,0.23165861,"Grouped",-0.0267303742307692,7
"784",-0.18532775,0.27799043,"Grouped",-0.105300066818182,7
"805",-0.18532775,0.32432225,"Grouped",-0.0772201766666667,7
"826",-0.18532775,0.37065407,"Grouped",-0.1023165775,7
"847",-0.18532775,0.41698588,"Grouped",-0.149131019375,7
"868",-0.18532775,0.4633177,"Grouped",-0.104676068518519,7
"8",-0.13899593,-0.46331866,"Ungrouped",-0.0686993817241379,8
"29",-0.13899593,-0.41698684,"Ungrouped",-0.0254082506451613,8
"50",-0.13899593,-0.37065503,"Ungrouped",-0.0407724792,8
"71",-0.13899593,-0.32432321,"Ungrouped",-0.109733733684211,8
"92",-0.13899593,-0.27799139,"Ungrouped",-0.0274563714814815,8
"113",-0.13899593,-0.23165957,"Ungrouped",-0.0463322977419355,8
"134",-0.13899593,-0.18532775,"Ungrouped",-0.0529511285714286,8
