"subNum","trial_number","cuedAR","uncuedAR","responseAR","rt","shape_org","cued_ellipse","e1_motion_dir","e2_motion_dir","round_number","coherence","cued_motion_dir","pairGlobalOrg","pairMotSame","responseError","sameARCat","pairAR_sameCondition","id","corrCoeff","corrPval"
293737,52,0.32432225,0.04633134,0.27799043,2721,0,2,90,90,0,0.6,90,1,1,-0.04633182,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,53,0.27799043,-0.27799139,-0.0463323,2938,1,1,0,180,0,0.8,0,0,0,-0.32432273,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,54,-0.32432321,0.23165861,-0.27799139,3030,1,2,0,0,0,0.8,0,0,1,0.04633182,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,55,-0.37065503,0.41698588,-0.13899593,1812,0,1,90,270,0,0.8,90,1,0,0.2316591,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,56,-0.09266412,0.32432225,0.09266316,1806,0,2,0,0,0,0.6,0,1,1,0.18532728,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,57,-0.0463323,0.32432225,0.04633134,1768,1,2,90,90,0,0.8,90,0,1,0.09266364,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,58,-0.41698684,0.18532679,-0.27799139,1741,0,1,0,0,0,0.8,0,1,1,0.13899545,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,59,0.4633177,-0.09266412,0.32432225,1621,1,1,90,270,0,0.6,90,0,0,-0.13899545,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,60,0.13899498,-0.27799139,-0.09266412,1291,1,2,0,0,0,0.6,0,0,1,-0.2316591,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,61,0.4633177,0.27799043,0.23165861,2571,1,1,0,180,0,0.8,0,0,0,-0.23165909,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
